,42-MG-BA,A172,AM-38,CCF-STTG1,LN-229,T98G,U-87-MG,YKG-1
"(6, 22)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 23)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 24)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 25)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 26)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 27)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 28)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 29)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 30)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 31)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 32)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 33)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 34)",1.2,1.466666667,1.466666667,1.2,1.466666667,1.466666667,1.2,1.2
"(6, 35)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 36)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 7)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 8)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 9)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 10)",0.844444444,0.844444444,13.8,0.844444444,13.8,0.844444444,0.844444444,0.844444444
"(7, 11)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 12)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 13)",0.577777778,0.577777778,0.577777778,0.577777778,0.577777778,0.577777778,0.577777778,0.577777778
"(7, 14)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 15)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 16)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 17)",0.844444444,0.844444444,13.8,0.844444444,13.8,0.844444444,0.844444444,0.844444444
"(7, 18)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 19)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 20)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 21)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 22)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 23)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 24)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 25)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 26)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 27)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 28)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 29)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 30)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 31)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 32)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 33)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 34)",1.2,1.466666667,1.466666667,1.2,1.466666667,1.466666667,1.2,1.2
"(7, 35)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(7, 36)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(8, 8)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(8, 9)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(8, 10)",0.844444444,0.844444444,13.8,0.844444444,13.8,0.844444444,0.844444444,0.844444444
"(8, 11)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(8, 12)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
